name,place,rtaf_tel,rta_tel,note
กอ.ร่วมวังไกลกังวน,สระแก้ว,,50019,
กองทัพภาคที่ 2,,,,
ทภ.2 ,นครราชสีมา,0852123694-9,227134,0898448175 จ.สมบัติ
บชร.2 ,นครราชสีมา, ,23198,
ส.พัน.22 ทภ.2,นครราชสีมา,,,0956377873 จ.ทรงพล (รถดาวเทียม)
ส.พัน.3 พล.ร.3,นครราชสีมา,,,0623515935 จ.ชาตรี บุตรพรม โต้ง (รถดาวเทียม)
พล.พัฒนา 2,นครราชสีมา,,21408,0833686336 พ.ต.สมชาย ตั้งพงษ์
ศปม.พล.พัฒนา2,นครราชสีมา,044934668,21407,
พล.ร.3 (ห้องVTC),นครราชสีมา,,22311,0896281872 จ.พีรพงศ์ (แท็ก)
พัน.กระสุน 22,นครราชสีมา,,,0863381783 จ.อดิศักดิ์
ผ.5 คส.สพ.ทบ. ,ปากช่อง, ,29300,0892823449 จ.วีระ 
แผนกส่งกำลังเสบียง กก.พธ.ทบ.,ปากช่อง, ,29800 29862,
รร.ทพ.ทบ.,ปากช่อง,044311011,29513,0808055392 จ.ยุทธศิลป์ พี่ตั้ม
มทบ.26 (จทบ.บ.ร.) ,บุรีรัมย์,0852123684,20500 20501,จ.ส.อ.ไพบูลย์ หมายถูก  0968917037
มทบ.25 (จทบ.ส.ร.) ,สุรินทร์,0852123686-7,20000,0904192596 จ.กิตติศักดิ์ 0640691617 ส..สมคิด
กกล.สุรนารี,สุรินทร์,,,0854911264  044513581 ส.อ.พิชิต  หน่อแก้ว 0621813825 ส.อ.จิรายุ  บัวใหญ่ 
ฉก.ทพ.23,กัณฑราลักษณ์,0852222375,84501,0854911264 จ.ส.อ.อรรถพล คูณตุ้ม 
มทบ.22,อุบลราชธานี,0852223697-9,26000 26100,"085-4126521 จ.ส.อ.ธงชัย  081-0692145 จ.ส.อสำคัญ 093-5602519 จ.ส.อ.เจนยุทธ 094-4347228 จ.ส.อ.วิฑูรย์ 
"
สทค.เขื่องใน,อุบลราชธานี,,,093-3216686 จ.ส.อ.ทองศรี  พรมวงศ์ 084-1280167 086-8723714 จ.ปรีชา จ.ธีระพล
ร.16 พัน.2,ยโสธร, ,25300,0930247724 จ.รำพรวน
มทบ.27 (จทบ.ร.อ.) ,ร้อยเอ็ด,0852223680,20900 21000,0866119173 จ.ไกรศร 0905752255 ส.พีระวัฒน์ แจ็ค
พล.ร.6 ,ร้อยเอ็ด,0852223689-91,25666 25501,0811833514 จ.ดาวเรือง 0839467148 จ.สุริยา
มทบ.23 ,ขอนแก่น,0852223692-3,24000 24001,0817994646  จ.เฉลิมวัฒน์  และ ส.อ.จักรพันธ์ ปะจันสี 0844691523 จ.ส.อ.สิทธิพงษ์ 
กรม ร.8,ขอนแก่น,0852323691,24333 24200, จ.ส.ท.กัมปนาท ผุยมูลตรี   จ.ส.อ.จารุพิชญ์  ขันชัยภูมิ 064-5589353 
ม.พัน.14 ,ขอนแก่น,0852322338,21888 24184,
ร.8พัน2 ชุมแพ,ขอนแก่น,,29907,0959342766 จ.อดิศักดิ์
มทบ.28,เลย,,,0899445944 จ.ไพรโรจน์(ท๊อป) 0812624878 จ.พยุง
มทบ.24 ,อุดรธานี, ,27000 27200 27224,0833652189 พี่จ้อน 0632498794 พี่กร
กกล.สุรศักดิ์มนตรี ,อุดรธานี, ,28000 28006 28072 28075,064-5756496 ส.อ.ธานินทร์ อินตะนัย 
ร.13 พัน.2 ,อุดรธานี,042126424,28200,
มทบ.29 (จทบ.ส.น.) ,สกลนคร,,21147 21100  21151,0610470553 จ.ดนัย
มทบ.210 (จทบ.น.พ.) ,นครพนม,,28891 28800,0832284558 จ.ลิขิต (พี่แจ๊ค)
กองทัพภาคที่ 3,,,, 
ทภ.3  ,พิษณุโลก,0853022616-9,73392 73390, 
บชร.3,พิษณุโลก,0853022607-8,73899 742989,0844878351 จ.ภานุ
พล.พัฒนา 3,พิษณุโลก,0853022605-6,74998 9,0831383293 จ.กิตติกร 
พล.พัฒนา 3 (บก.พล.),พิษณุโลก,,,0981791565 ผู้กองโบ้ 
รพศ.4 (วังทอง),พิษณุโลก,,77000 77036,0869271987 จ.ธารา
มทบ.31,นครสวรรค์, ,31000 (31042ห้องวิทยุ),0819246695 จ.ส.อ.พิเชษฐ์
แผนก 3 คส.สพ.ทบ. ,นครสวรรค์, ,32300,0819246695 จ.ส.อ.พิเชษฐ์ (ช่วยดูแล)
มทบ.35,อุตรดิตถ์,0853032612-3,76699 76436 76440,0822691136 จ.ส.อ.วิชาญ ฉลูศรี 
ป.พัน. 20 ,อุตรดิตถ์,,76700,0866787730 พี่ตู่ (ช่วยดูแล)
ม.พัน.12 ,แพร่,0853032614,70700 70710,
มทบ.34 ,พะเยา,,72223,0916359817 จ.มาโนช
ร.17พัน.4 เชียงคำ,พะเยา,,82067 82070,
มทบ.32 ,ลำปาง,0853032600-2,72300,0850505011 จ.ส.อ.สมศักดิ์ วงค์แสน  
ร้อย ฝรพ.4 (ประตูผา),ลำปาง,,8205962,
มทบ.37,เชียงราย,0853032380-1,71700 71777,089-7578737 จ.ส.อ.อิทธิพล 0806876817 จ.ส.อ.ณรงค์รักษ์ บุตรดี 
มทบ.33 ,เชียงใหม่,0853032608-10,75398,
กกล.ผาเมือง ,เชียงใหม่, ,75333,0897551687 พี่เอ
ศฝ.นสท.มทบ.33 ,เชียงใหม่, ,75930,0882534458 ร.ท.จักรพงศ์
พล.ร.7,เชียงใหม่,0853032365,77500 75540,0932825502 ส.อ.อิวัฒน์ 
พัน.พัฒนา 3 ,เชียงใหม่,0853032360,75800,0817062050 จ.ธนพล
ศูนย์ฝึก นศ. มทบ.33,เชียงใหม่,,,0882534458 ร.ท.จักรพงษ์
กองพันสัตว์ต่าง กส.ทบ.,เชียงใหม่,,,
กองเกษตรกรรม ที่3 กส.ทบ.,เชียงใหม่,,,
มทบ.38 ,น่าน,0853022622-4,71200 71300, 0871727328 จ.สัญญา 0878497565 จ.จิรวรรณ
ม.พัน.15,น่าน,054716005,,จ.โอภาส
ททบ.5 น่าน,น่าน,0979219769,,097-9219769 จ.ส.อ.สุริยัณต์  ทองหลิ้ม 
มทบ. 36 ,เพชรบูรณ์,0853012640-4,70399 70059,0624040972 พี่ยอด 0928241883 เอ
ม.พัน.28 ,เพชรบูรณ์,0853012010,70500 70555,056737515
สร.ภูหมันขาว ทอ.,เพชรบูรณ์,,,0837390401 ร.อ.ยุทธนา (ผลัดเปลี่ยนกันขึ้น)
มทบ.310 ,ตาก,0853022620,72600 72700,0993572653 จ.ศิริธรรม
กกล.นเรศวร,ตาก,,,0933154412 ส.กอล์ฟ
ร.7 พัน.5 (ปาย),แม่ฮ่องสอน,,955334 955389,0624942250 ส.อ.พชร อักษรศักดิ์
กรมทพ.36 (แม่เสรียง),แม่ฮ่องสอน,,82020 82023,
,,,,
กองทัพภาคที่ 4,,,,
ทภ.4 ,นครศรีธรรมราช,0854123671-2,404436 40520,0830737055 จ.ส.อ.จีรเดช 0956342179 ส.ณัฐพล(เจ)
มทบ.43 (จทบ.ท.ส.),นครศรีธรรมราช,0854123681-4,45210 45400,0884474743 จ.ส.อ.พิเชต โจมชู
กกล.เทพสตรี (ทุ่งสง),นครศรีธรรมราช,,,0982626871 จ.ส.อ.ภูริทัตร ศรีภักดิ์
พล.ร.5 (ทุ่งสง),นครศรีธรรมราช,,,0836418330 ร.ต.ปุญญ์ชนัตร์ แก้วฟุ้งรังษี
ททบ.เขารามโรม,นครศรีธรรมราช, ,45199,
ร้อย ฝรพ.4 (สิชล),นครศรีธรรมราช,,,0846254415 จ.ส.อ.ณรงค์ บุญนายก
มทบ.44 (จทบ.ช.พ.) ,ชุมพร,0855523677-80,44297 441989,0901768402 จ.ส.อ.เทวรร 0841834861พี่ตู่
มทบ.45( จทบ.ส.ฎ.),สุราฎร์ธานี,0854123697-9,45648 456723,
ร.15 พัน.4 ,ตรัง, ,48030,0831717909 จ.ส.อ.มนตรี
มทบ.42 (หาดใหญ่),สงขลา,0854123686-8,44696 44300 44699,0891507499 จ.ส.อ.ไพรศาล หนูแก้ว
สทอ.บ้านพรุ (หาดใหญ่),สงขลา,,,0806047696 พ.อ.อ.ชาญชัย ชาญตระกูลทวี
ททบ. เขาคอหงษ์  ,สงขลา, ,44360 44694,
พล.พัฒนาที่ 4 ,สงขลา,0854123698 ,42100,0875974698 ร.ท.พิรุฬห์ หนูพุ่ม
กรม สน.พล.ร.15 (เทพา),สงขลา,,, 0620684888 จ.ส.อ.วิโชติ หมาดหลี จนท.สส.ทหาร
ร.5พัน.3 (นาทวี),สงขลา,,82047 82050,0862005161จ.ส.อ.อุเทน สพประสงค์
ร.5พัน.2,สตูล,,82043 82046,0953394146 จ.ส.อ.สุริยา มามาตย์
มทบ.46 (จทบ.ป.น.) ,ปัตตานี,0854123662-4,43290 43000 43521,0895960062 พี่อนุวัฒน์
พล.ร.15  ,ปัตตานี,,43700 43777,
ส.พัน.15 (ร.153 เดิม),ปัตตานี,,46900 46907,
ททบ. เขาบือยอ,ยะลา, ,43535,
ร.152 พัน.3 (สิรินธร),ยะลา,0855711765,46000 46009,
ร.152 พัน.2 (รามัน),ยะลา,,,0904785753 หมวตชิตพล 0616350952 ส.อ.ณัฐพงศ์ ไวยสุตรา
ร.153 (ส.พัน 15),ปัตตานี, ,46900,
ร.151พัน.3 (ปิเหล็ง),นราธิวาส,,,0835946494 จ.ส.อ.พูนเพิ่ม ธรรรมานุสาร(เอส)
ร.151 (กะลุวอ),นราธิวาส,,,0840079902 พี่เอ็ม847 0904783296 จ.ส.อ.อาเพนดี มะเย็ง
ช.15,ปัตตานี,,46889,
พระตำหนักทักษิณฯ ,นราธิวาส, ,42713,0811879011 ร.ท.วิรัตน์ เทพส่ง
